freq_mhz,channel1_v,channel2_v
2783.5,-3.03986e-05,1.841791e-05
2784,-2.77163e-05,1.770266e-05
2784.5,-2.867e-05,1.460319e-05
2785,-3.11735e-05,1.794106e-05
2785.5,-4.72071e-05,-3.09947e-06
2786,-5.2512e-05,-1.78815e-07
2786.5,-6.41945e-05,-8.04667e-06
2787,-5.21543e-05,-9.65601e-06
2787.5,-6.78902e-05,-9.536804e-06
2788,-7.42081e-05,1.90736e-06
2788.5,-9.22684e-05,1.30535e-05
2789,-0.0001313696,1.955045e-05
2789.5,-0.0001452574,2.145779e-06
2790,-0.000161768,4.52998e-06
2790.5,-0.0001752982,1.621259e-05
2791,-0.000222803,1.543772e-05
2791.5,-0.000270786,2.038492e-05
2792,-0.000327947,1.496085e-05
2792.5,-0.000408115,9.89444e-06
2793,-0.000516121,5.78168e-06
2793.5,-0.000633005,1.317271e-05
2794,-0.000736955,1.853717e-05
2794.5,-0.0008086,2.41996e-05
2795,-0.0008629,2.765676e-05
2795.5,-0.000896994,1.251708e-05
2796,-0.000919047,7.56983e-06
2796.5,-0.000930253,1.96698e-06
2797,-0.000920716,9.11959e-06
2797.5,-0.000895981,9.4772e-06
2798,-0.000870887,1.931202e-05
2798.5,-0.000826362,1.31131e-05
2799,-0.000745241,1.239783e-05
2799.5,-0.000637475,3.69551e-06
2800,-0.000527743,2.80145e-06
2800.5,-0.000429334,2.92064e-06
2801,-0.000348332,3.874328e-06
2801.5,-0.000275077,7.33141e-06
2802,-0.000238599,5.66247e-06
2802.5,-0.0001968747,1.752388e-05
2803,-0.0001736889,2.801434e-06
2803.5,-0.0001457939,2.086175e-06
2804,-0.0001181369,1.269585e-05
2804.5,-0.0001023416,5.36445e-06
2805,-0.0001000171,1.430518e-06
2805.5,-9.07187e-05,-1.72855e-06
2806,-7.23008e-05,-2.38419e-06
2806.5,-6.51482e-05,1.90736e-06
2807,-5.20351e-05,-1.54973e-06
2807.5,-4.60747e-05,1.043087e-05
2808,-2.59282e-05,5.36445e-06
2808.5,-2.133854e-05,-1.1921e-05
2809,-3.67763e-05,9.5368e-07
2809.5,-3.61802e-05,2.3842e-06
2810,-2.66434e-05,2.62263e-06
2810.5,-2.57494e-05,-8.10628e-06
2811,-2.60473e-05,2.682222e-06
2811.5,-2.71799e-05,5.96051e-06
2812,-1.54973e-05,2.98026e-06
2812.5,-1.597416e-05,-1.382833e-05
2813,-2.59878e-05,-9.47718e-06
2813.5,-3.16502e-05,5.48366e-06
2814,-1.871599e-05,4.94721e-06
2814.5,-1.925243e-05,-7.86788e-06
2815,-1.829874e-05,-5.72208e-06
2815.5,-1.311311e-05,2.384195e-06
2816,-2.008688e-05,-1.263628e-05
2816.5,-2.28883e-05,1.19209e-06
2817,-2.503412e-05,5.9604e-07
2817.5,-2.28287e-05,7.92748e-06
2818,-2.99217e-05,3.39748e-06
2818.5,-2.16962e-05,6.675755e-06
2819,-2.94448e-05,1.239785e-05
2819.5,-3.99353e-05,1.132496e-05
2820,-3.36172e-05,5.9605e-06
2820.5,-2.95045e-05,-1.13249e-06
2821,-4.61938e-05,7.45063e-06
2821.5,-5.76976e-05,8.52352e-06
2822,-6.4433e-05,1.275545e-05
2822.5,-6.18104e-05,2.3842e-07
2823,-7.12877e-05,3.09947e-06
2823.5,-7.14664e-05,1.817945e-05
2824,-8.148e-05,3.5763e-07
2824.5,-0.000105441,1.704701e-05
2825,-0.0001177196,9.5964e-06
2825.5,-0.000144423,3.27829e-06
2826,-0.0001651058,3.874321e-06
2826.5,-0.000200869,2.485534e-05
2827,-0.000222028,3.18887e-05
2827.5,-0.000255169,2.843155e-05
2828,-0.000309111,1.496083e-05
2828.5,-0.000365199,1.525888e-05
2829,-0.000427427,5.12599e-06
2829.5,-0.00052375,6.437325e-06
2830,-0.000633124,5.30485e-06
2830.5,-0.000747148,1.07288e-06
2831,-0.000900154,9.83481e-06
2831.5,-0.001048275,6.616152e-06
2832,-0.001176663,-1.3113e-06
2832.5,-0.001251228,-1.5735673e-05
2833,-0.001292832,-2.145777e-05
2833.5,-0.001303144,-9.775223e-06
2834,-0.001312502,-1.0132818e-05
2834.5,-0.001300104,-2.044455e-05
2835,-0.001251109,-2.855073e-05
2835.5,-0.001201339,-1.549729e-05
2836,-0.001144834,-7.56983e-06
2836.5,-0.001045175,-1.978879e-05
2837,-0.000907604,-2.276908e-05
2837.5,-0.000753049,-1.6808655e-05
2838,-0.000599805,-1.108654e-05
2838.5,-0.000479582,-2.920649e-06
2839,-0.000393989,4.41079e-06
2839.5,-0.000314894,-8.34465e-07
2840,-0.000264169,-7.09299e-06
2840.5,-0.000223996,3.6359e-06
2841,-0.0001957426,1.09076949e-05
2841.5,-0.0001587877,-4.1723e-07
2842,-0.0001403102,1.966961e-06
2842.5,-0.0001369128,-3.576299e-06
2843,-0.0001225479,-2.38419e-06
2843.5,-0.0001019244,1.221902e-05
2844,-9.17916e-05,1.376874e-05
2844.5,-8.4043e-05,2.92064e-06
2845,-6.91419e-05,4.17235e-06
2845.5,-5.61478e-05,-1.54974e-06
2846,-3.8922e-05,-3.03984e-06
2846.5,-3.54054e-05,-1.0371264e-05
2847,-2.33055e-05,-2.56302e-06
2847.5,-2.628582e-05,7.450611e-06
2848,-2.91469e-05,7.450636e-06
2848.5,-3.31404e-05,5.36444e-07
2849,-2.65838e-05,-5.96e-08
2849.5,-1.9014e-05,4.29156e-06
2850,-2.40804e-05,7.98707e-06
2850.5,-2.68222e-05,-4.7683e-07
2851,-2.83719e-05,-1.8477549e-06
2851.5,-2.414e-05,7.92745e-06
2852,-1.513968e-05,1.096732e-05
2852.5,-2.175579e-05,6.97377e-06
2853,-3.12926e-05,7.80825e-06
2853.5,-4.00545e-05,5.185639e-06
2854,-4.82204e-05,6.794965e-06
2854.5,-3.53458e-05,1.1921e-07
2855,-3.26039e-05,2.682225e-06
2855.5,-4.71475e-05,1.025207e-05
2856,-5.86514e-05,1.162297e-05
2856.5,-7.33142e-05,6.85459e-06
2857,-8.41622e-05,1.150379e-05
2857.5,-9.40566e-05,5.60286e-06
2858,-0.0001049643,7.1526e-07
2858.5,-0.000114799,-3.278276e-06
2859,-0.0001238591,3.75512e-06
2859.5,-0.0001274354,-1.1921e-07
2860,-0.0001520524,7.629429e-06
2860.5,-0.0001744638,1.2219e-05
2861,-0.0001997961,1.066929e-05
2861.5,-0.000211478,1.508006e-05
2862,-0.000236035,7.80825e-06
2862.5,-0.000243665,4.23195e-06
2863,-0.000256361,1.651058e-05
2863.5,-0.000274839,8.64273e-06
2864,-0.000275077,4.29155e-06
2864.5,-0.000280263,1.77623e-05
2865,-0.000258149,2.56301e-05
2865.5,-0.000259282,1.543771e-05
2866,-0.000232698,1.54377e-05
2866.5,-0.000211597,2.38418e-06
2867,-0.0001961597,-6.258525e-06
2867.5,-0.000169755,2.682223e-06
2868,-0.0001404294,3.33788e-06
2868.5,-0.0001111631,1.037126e-05
2869,-8.80961e-05,1.049047e-05
2869.5,-4.93528e-05,7.62943e-06
2870,-5.65651e-05,-8.8811449e-06
2870.5,-4.75647e-05,1.01328e-06
2871,-9.89445e-06,-5.72209e-06
2871.5,-1.680859e-05,5.66247e-06
2872,-2.73587e-05,3.93392e-06
2872.5,-4.17235e-05,2.861035e-06
2873,-3.40344e-05,1.573572e-05
2873.5,-2.497451e-05,1.007323e-05
2874,-4.96509e-05,-1.192e-07
2874.5,-7.29566e-05,-2.56302e-06
2875,-8.22548e-05,4.7684051e-06
2875.5,-0.0001073484,1.347073e-05
2876,-0.0001227862,4.828011e-06
2876.5,-0.0001444825,5.00682e-06
2877,-0.0001621256,5.72207e-06
2877.5,-0.0001813182,1.031161e-05
2878,-0.0001997953,6.67575e-06
2878.5,-0.000205518,1.186138e-05
2879,-0.000208915,9.5369e-07
2879.5,-0.0001920474,1.049049e-05
2880,-0.000192882,1.370915e-05
2880.5,-0.0001821527,0
2881,-0.0001609335,1.144416e-05
2881.5,-0.000154377,1.847755e-05
2882,-0.0001391777,1.585492e-05
2882.5,-0.0001146205,9.2388e-06
2883,-0.0001107459,-4.05313e-06
2883.5,-0.0001057988,-3.93392e-06
2884,-8.65464e-05,3.27827e-06
2884.5,-6.82477e-05,0
2885,-6.35389e-05,1.84776e-06
2885.5,-4.80416e-05,5.96047e-07
2886,-4.98297e-05,2.92064e-06
2886.5,-4.86972e-05,-1.19211e-06
2887,-4.44057e-05,-5.84129e-06
2887.5,-3.69551e-05,1.007324e-05
2888,-3.5763e-05,6.675754e-06
2888.5,-2.682226e-05,2.44379e-06
2889,-2.8372e-05,-3.516706e-06
2889.5,-3.61802e-05,-8.34471e-06
2890,-3.39748e-05,-4.7684e-07
2890.5,-2.050414e-05,6.37774e-06
2891,-2.65242e-05,6.19893e-06
2891.5,-3.2306e-05,4.947216e-06
2892,-3.70147e-05,3.33788e-06
2892.5,-3.55246e-05,4.94721e-06
2893,-2.8372e-05,3.15906e-06
2893.5,-3.14119e-05,-2.80143e-06
2894,-3.57033e-05,-1.2517e-06
2894.5,-2.69414e-05,2.20538e-06
2895,-2.74183e-05,9.59639e-06
2895.5,-2.217306e-05,2.288828e-05
2896,-3.78492e-05,1.1086569e-05
2896.5,-4.71475e-05,-2.38418e-07
2897,-5.93666e-05,-5.960501e-06
2897.5,-6.64597e-05,-8.940755e-06
2898,-5.53731e-05,-1.078849e-05
2898.5,-7.93939e-05,-7.33141e-06
2899,-9.4891e-05,5.72208e-06
2899.5,-0.0001172428,6.07972e-06
2900,-0.0001394758,7.927455e-06
2900.5,-0.0001373896,8.70234e-06
2901,-0.0001763114,1.055008e-05
2901.5,-0.0002062922,-4.053139e-06
2902,-0.000244499,-2.98026e-07
2902.5,-0.00028825,8.04667e-06
2903,-0.000348093,9.65602e-06
2903.5,-0.000446202,5.48366e-06
2904,-0.000560407,-1.78814e-06
2904.5,-0.000682953,-1.4662764e-05
2905,-0.000823859,-1.0669315e-05
2905.5,-0.00093681,-6.25853e-06
2906,-0.001006847,-1.3947525e-05
2906.5,-0.001053281,-1.221903e-05
2907,-0.001093097,-1.484162e-05
2907.5,-0.001114436,-1.4126345e-05
2908,-0.001106448,-1.31131e-05
2908.5,-0.001083084,-5.24523e-06
2909,-0.001072295,-1.42456e-05
2909.5,-0.001030392,-3.75512e-06
2910,-0.000941638,-8.7619e-06
2910.5,-0.000835184,0
2911,-0.000699166,2.32459e-06
2911.5,-0.000579838,-3.099455e-06
2912,-0.000472607,5.006816e-06
2912.5,-0.000391366,1.347068e-05
2913,-0.000323118,1.841795e-05
2913.5,-0.000264051,1.347072e-05
2914,-0.000227631,1.358992e-05
2914.5,-0.0001977689,1.198062e-05
2915,-0.0001769672,2.80143e-06
2915.5,-0.0001575956,5.66247e-06
2916,-0.0001298792,1.645098e-05
2916.5,-0.0001102094,4.7684e-07
2917,-8.39238e-05,-3.75512e-06
2917.5,-6.84266e-05,1.013285e-06
2918,-6.66981e-05,3.5763e-07
2918.5,-5.62076e-05,1.412639e-05
2919,-5.48962e-05,1.66298e-05
2919.5,-5.40617e-05,8.165865e-06
2920,-3.61207e-05,1.72855e-06
2920.5,-2.8074e-05,-1.1921e-06
2921,-2.378233e-05,4.64919e-06
2921.5,-3.21271e-05,6.55654e-06
2922,-2.408046e-05,4.58958e-06
2922.5,-2.70607e-05,-1.1503766e-05
2923,-2.34844e-05,1.66894e-06
2923.5,-2.032531e-05,7.629455e-06
2924,-2.336517e-05,1.7881e-07
2924.5,-1.025206e-05,2.682231e-06
2925,-1.490125e-05,-9.17918e-06
2925.5,-1.132496e-05,-3.45708e-06
2926,-1.275548e-05,3.87431e-06
2926.5,-2.241148e-05,-2.920639e-06
2927,-1.871597e-05,-6.37775e-06
2927.5,-1.364955e-05,8.34469e-06
2928,-2.336517e-05,-3.93393e-06
2928.5,-2.926602e-05,-4.88761e-06
2929,-2.33651e-05,-2.682219e-06
2929.5,-3.52862e-05,3.039855e-06
2930,-3.1829e-05,1.072897e-06
2930.5,-3.05177e-05,-6.5565e-07
2931,-3.92201e-05,3.874315e-06
2931.5,-3.62994e-05,7.1526e-07
2932,-5.19754e-05,-1.25169e-06
2932.5,-7.3314e-05,7.09299e-06
2933,-8.48775e-05,1.1146182e-05
2933.5,-0.000104249,1.746418e-05
2934,-0.0001093154,4.7686e-07
2934.5,-0.0001095538,9.775232e-06
2935,-0.0001466283,2.02061e-05
2935.5,-0.0001734504,1.120573e-05
2936,-0.000216366,1.484164e-05
2936.5,-0.000263097,2.205381e-06
2937,-0.000321688,-4.47037e-06
2937.5,-0.000397803,1.96697e-05
2938,-0.00048125,3.153101e-05
2938.5,-0.000569765,2.414008e-05
2939,-0.000605229,1.865637e-05
2939.5,-0.000629429,1.466287e-05
2940,-0.000652257,1.358992e-05
2940.5,-0.000673774,2.068288e-05
2941,-0.000664715,1.305348e-05
2941.5,-0.000646297,1.817954e-05
2942,-0.000622992,2.014646e-05
2942.5,-0.000610295,1.63318e-05
2943,-0.000563625,1.698741e-05
2943.5,-0.000494901,1.525891e-05
2944,-0.00042093,1.567614e-05
2944.5,-0.000348212,7.27181e-06
2945,-0.000282289,9.47719e-06
2945.5,-0.000221492,1.126533e-05
2946,-0.0001764903,1.478203e-05
2946.5,-0.0001445422,3.69551e-06
2947,-0.0001131303,1.645097e-05
2947.5,-9.656e-05,1.531848e-05
2948,-8.46391e-05,1.841795e-05
2948.5,-6.90226e-05,-5.12603e-06
2949,-7.3493e-05,-5.543261e-06
2949.5,-6.96186e-05,5.84129e-06
2950,-5.26312e-05,1.525891e-05
2950.5,-4.30348e-05,7.74865e-06
2951,-3.43325e-05,2.26499e-06
2951.5,-3.44517e-05,-2.50341e-06
2952,-3.04581e-05,-2.443799e-06
2952.5,-1.519923e-05,8.7023e-06
2953,-7.569825e-06,3.93394e-06
2953.5,-3.0994e-06,8.04666e-06
2954,-9.417599e-06,1.508009e-05
2954.5,-3.02198e-05,1.4186e-05
2955,-1.770262e-05,8.04666e-06
2955.5,-9.000364e-06,7.98707e-06
2956,4.76841e-06,1.311306e-05
2956.5,-1.007326e-05,-2.38426e-07
2957,-1.502046e-05,-5.7817e-06
2957.5,-1.025206e-05,-5.3645e-07
2958,-1.561651e-05,4.7684e-07
2958.5,-5.36444e-06,-2.086169e-06
2959,5.12601e-06,-3.337881e-06
2959.5,-1.19806e-05,3.69551e-06
2960,-8.82153e-06,1.436478e-05
2960.5,-7.56984e-06,-3.87433e-06
2961,-5.2452351e-06,-5.3644e-07
2961.5,1.72854e-06,-3.81472e-06
2962,-6.31812e-06,4.29155e-06
2962.5,-4.35116e-06,3.27827e-06
2963,-1.847755e-06,7.56985e-06
2963.5,-1.66894e-06,7.03339e-06
2964,-7.51023e-06,3.51669e-06
2964.5,-6.61614e-06,-4.828e-06
2965,-8.1658949e-06,-4.47036e-06
2965.5,-2.157701e-05,-1.49012e-06
2966,-1.639134e-05,-6.31812e-06
2966.5,-2.396115e-05,-2.3841e-07
2967,-1.502046e-05,3.69551e-06
2967.5,-2.372277e-05,-3.63591e-06
2968,-1.490125e-05,8.64272e-06
2968.5,-1.513967e-05,-1.8477551e-06
2969,-1.794109e-05,1.60933e-06
2969.5,-2.92065e-05,7.92746e-06
2970,-3.8028e-05,6.73538e-06
2970.5,-4.20214e-05,-3.87433e-06
2971,-4.44653e-05,9.5367e-07
2971.5,-4.72667e-05,2.032529e-05
2972,-4.95913e-05,-4.70879e-06
2972.5,-5.83533e-05,1.436483e-05
2973,-7.48639e-05,3.12926e-05
2973.5,-9.54275e-05,6.49695e-06
2974,-0.0001287467,-1.66896e-06
2974.5,-0.0001455554,1.180181e-05
2975,-0.0001668343,1.5258834e-05
2975.5,-0.0001889477,2.17558e-05
2976,-0.0002030142,2.384201e-05
2976.5,-0.000230493,3.53457e-05
2977,-0.000232102,3.09945e-05
2977.5,-0.000242056,4.5419e-05
2978,-0.000238121,2.396115e-05
2978.5,-0.000233115,1.513966e-05
2979,-0.00023389,2.14578e-05
2979.5,-0.000231446,6.43732e-06
2980,-0.000211299,8.761944e-06
2980.5,-0.0001845369,1.37687051e-05
2981,-0.0001640925,1.800072e-05
2981.5,-0.0001439461,2.044452e-05
2982,-0.0001184351,1.680859e-05
2982.5,-9.72753e-05,1.275547e-05
2983,-8.41622e-05,1.037127e-05
2983.5,-7.92746e-05,5.90088e-06
2984,-6.77112e-05,1.31131e-05
2984.5,-5.6267e-05,1.621255e-05
2985,-3.47497e-05,1.591453e-05
2985.5,-3.77896e-05,8.76195e-06
2986,-2.157698e-05,8.04667e-06
2986.5,-2.36631e-05,8.106278e-06
2987,-2.640502e-05,3.27827e-06
2987.5,-1.752386e-05,1.609334e-05
2988,-1.072891e-05,8.34475e-07
2988.5,-1.734507e-05,6.02011e-06
2989,-7.56984e-06,-5.36444e-06
2989.5,4.7684e-07,-1.43051e-06
2990,-7.80825e-06,-6.37773e-06
2990.5,-2.324589e-06,-6.61616e-06
2991,-5.54326e-06,-7.689035e-06
2991.5,-7.331429e-06,1.43051e-06
2992,-6.55655e-06,-1.8477549e-06
2992.5,-7.748635e-06,2.08616e-06
2993,-4.64919e-06,1.031165e-05
2993.5,4.58959e-06,1.043085e-05
2994,-2.02655e-06,1.490125e-05
2994.5,-1.29939e-05,6.49693e-06
2995,-1.633178e-05,1.609331e-06
2995.5,1.60932e-06,-1.537809e-05
2996,1.66894e-06,-8.046661e-06
2996.5,-1.5735715e-05,1.215941e-05
2997,-2.038487e-05,-2.98027e-07
2997.5,-9.59639e-06,-1.055009e-05
2998,-1.347071e-05,-1.090771e-05
2998.5,-1.6451e-05,-3.5763e-07
2999,-1.299387e-05,-1.96697e-06
2999.5,2.9802e-07,3.81472e-06
3000,-3.09947e-06,-9.29836e-06
3000.5,7.1526e-06,1.370915e-06
3001,-5.24524e-06,-6.67577e-06
3001.5,-5.78168e-06,-2.80144e-06
3002,1.29939e-05,-9.00036e-06
3002.5,-1.1921e-07,1.370914e-06
3003,-1.4305169e-05,7.68906e-06
3003.5,-9.83486e-06,8.94075e-07
3004,-1.192099e-05,-3.09945e-06
3004.5,-6.13933e-06,6.31814e-06
3005,3.33794e-06,1.4782e-05
3005.5,-1.251703e-05,2.044445e-05
3006,-1.204019e-05,2.139817e-05
3006.5,-2.14578e-06,3.09945e-06
3007,-9.4772e-06,-1.370915e-05
3007.5,-1.233825e-05,-1.430521e-05
3008,-1.037125e-05,-5.9604e-07
3008.5,-1.722587e-05,2.74183e-06
3009,-1.43648e-05,2.384205e-06
3009.5,-6.25853e-06,7.09303e-06
3010,2.56303e-06,2.74184e-06
